X,Y,class_id,class_name,Blue,Green,Red,RedEdge,NIR,nDSM_m,Thermal_C
458863.6564,4334213.2839,1,Tree,0.082592,0.141122,0.120845,0.249361,0.491865,8.3192,31.2694
458870.4170,4334222.1255,1,Tree,0.067652,0.107849,0.097896,0.177229,0.325605,5.0912,30.6662
458868.9506,4334209.0065,1,Tree,0.073875,0.130209,0.114623,0.238377,0.505853,6.1829,32.9248
458859.5057,4334218.3557,1,Tree,0.051565,0.070084,0.071999,0.087303,0.127949,5.4017,28.4497
458867.3205,4334218.8139,1,Tree,0.059972,0.089043,0.085616,0.143148,0.247226,9.8758,29.1651
458869.1241,4334211.2678,1,Tree,0.096259,0.159370,0.144804,0.290223,0.547441,8.7942,31.6342
458870.1763,4334211.4772,1,Tree,0.071091,0.119067,0.104772,0.214556,0.484243,7.0906,31.8446
458863.4182,4334219.6949,1,Tree,0.057024,0.082063,0.081223,0.102054,0.170886,9.2209,28.6601
458869.0834,4334221.3527,1,Tree,0.074785,0.119981,0.114814,0.227568,0.403293,8.5795,29.6421
458869.2228,4334216.8196,1,Tree,0.081373,0.130995,0.123710,0.223134,0.413706,10.1480,30.6942
458859.3694,4334213.5826,1,Tree,0.081664,0.139675,0.117898,0.233625,0.412106,5.1712,31.0870
458862.3664,4334211.5860,1,Tree,0.085468,0.146629,0.126084,0.274516,0.499172,5.6258,31.8165
458873.3190,4334217.8334,1,Tree,0.073220,0.125843,0.108210,0.213396,0.385729,8.6841,30.4698
458871.6200,4334215.7598,1,Tree,0.077078,0.136046,0.112822,0.237479,0.484024,10.0173,30.5820
458867.8127,4334215.5965,1,Tree,0.085013,0.122290,0.129904,0.259939,0.424213,9.9246,30.6522
458869.0107,4334210.5068,1,Tree,0.068543,0.114042,0.116833,0.178330,0.297503,7.2253,32.4478
458873.7177,4334213.6220,1,Tree,0.082920,0.142442,0.130941,0.259997,0.540730,6.2810,32.3917
458865.2141,4334223.2477,1,Tree,0.055677,0.077267,0.077948,0.100084,0.160066,6.5822,28.7443
458862.8775,4334213.8631,1,Tree,0.052984,0.078713,0.076966,0.103706,0.189517,7.4024,29.9928
458872.6042,4334212.7629,1,Tree,0.076842,0.126452,0.128021,0.251998,0.585454,5.0157,32.3777
458860.6942,4334216.6339,1,Tree,0.071128,0.121732,0.107501,0.201456,0.364872,6.7266,29.3475
458874.0897,4334218.8806,1,Tree,0.092383,0.146198,0.147614,0.276602,0.400658,7.4359,33.5140
458867.6931,4334209.2168,1,Tree,0.094439,0.165943,0.136972,0.311437,0.598094,6.0591,32.0410
458860.1803,4334216.0130,1,Tree,0.051783,0.071734,0.076420,0.093215,0.149810,5.9136,29.2633
458873.0626,4334219.6026,1,Tree,0.075786,0.111834,0.112522,0.174244,0.304058,7.1246,31.3255
458869.9113,4334218.9848,1,Tree,0.058862,0.098357,0.086025,0.137845,0.298820,9.8056,29.7684
458864.0139,4334212.3864,1,Tree,0.069690,0.116377,0.109329,0.185257,0.329462,8.1484,31.1432
458871.8743,4334220.7216,1,Tree,0.062210,0.079069,0.076829,0.081623,0.098310,-0.0136,31.2554
458866.6671,4334215.7417,1,Tree,0.085049,0.142949,0.126411,0.284833,0.526083,10.4600,30.6101
458871.6809,4334218.1372,1,Tree,0.050655,0.066861,0.078330,0.093940,0.140558,8.3071,29.7964
458869.9978,4334220.4905,1,Tree,0.057825,0.090896,0.085807,0.121239,0.247853,8.1110,29.6842
458873.2833,4334213.1030,1,Tree,0.067179,0.114727,0.104909,0.225191,0.534959,5.1580,32.5179
458865.8679,4334216.4054,1,Tree,0.083248,0.128102,0.123219,0.229104,0.407339,10.3169,30.3015
458862.7393,4334217.1830,1,Tree,0.061774,0.100438,0.085425,0.134976,0.285114,8.2864,29.8946
458872.1056,4334213.4611,1,Tree,0.083757,0.146122,0.124447,0.248318,0.512565,8.2507,31.6622
458859.9528,4334216.0762,1,Tree,0.057807,0.090236,0.081905,0.121529,0.219375,5.4454,28.9688
458871.1864,4334211.1314,1,Tree,0.083666,0.146147,0.122455,0.273270,0.536182,6.6504,33.2895
458868.6162,4334209.0260,1,Tree,0.074112,0.141223,0.113723,0.246376,0.553463,6.7116,32.2935
458858.6357,4334216.2232,1,Tree,0.054877,0.084652,0.077621,0.111096,0.179637,2.9520,29.0810
458867.1789,4334217.9350,1,Tree,0.067342,0.100768,0.099560,0.170216,0.296248,10.3838,29.4878
458866.7538,4334212.8603,1,Tree,0.078370,0.135183,0.123683,0.231886,0.435974,9.6387,31.1432
458871.6266,4334212.0191,1,Tree,0.086705,0.149675,0.125757,0.267966,0.574477,7.4324,32.2093
458865.4026,4334208.9148,1,Tree,0.088525,0.151857,0.132442,0.273704,0.560677,2.7253,34.8747
458872.3394,4334218.8797,1,Tree,0.075368,0.131985,0.111894,0.266169,0.528529,8.1590,30.3435
458864.8781,4334210.4452,1,Tree,0.095131,0.159141,0.146250,0.294831,0.553401,6.0768,31.9568
458860.4660,4334211.6869,1,Tree,0.069362,0.107392,0.107719,0.156276,0.258799,5.8364,35.2956
458867.3291,4334219.1802,1,Tree,0.058989,0.085464,0.087772,0.146684,0.258266,9.6171,29.3756
458869.2680,4334212.1660,1,Tree,0.074312,0.117620,0.110967,0.212266,0.425969,9.0342,31.8726
458867.4187,4334217.5201,1,Tree,0.082265,0.132645,0.119562,0.218004,0.389148,10.5395,29.7824
458865.0642,4334211.6464,1,Tree,0.084594,0.136122,0.124747,0.238551,0.417469,8.4819,31.2273
458863.9524,4334219.8781,1,Tree,0.053803,0.073790,0.074073,0.090549,0.141875,9.2424,28.9267
458871.9115,4334200.9232,1,Tree,0.076824,0.121072,0.119180,0.229712,0.444097,4.4735,32.5179
458870.3530,4334198.4930,1,Tree,0.062684,0.103712,0.098305,0.213773,0.617853,2.6682,35.5621
458870.4243,4334199.9998,1,Tree,0.072875,0.134955,0.114268,0.268198,0.573348,3.9035,33.2334
458870.0437,4334200.5710,1,Tree,0.058443,0.097900,0.091947,0.176273,0.438044,3.3935,32.2093
458869.9461,4334200.6111,1,Tree,0.058534,0.105032,0.089600,0.198993,0.496256,3.4302,31.9989
458870.4714,4334201.5362,1,Tree,0.062010,0.102570,0.093038,0.181808,0.442655,4.6941,30.9467
458876.1352,4334200.3019,1,Tree,0.082247,0.123864,0.127367,0.202819,0.414615,4.4900,36.9790
458873.7995,4334202.2617,1,Tree,0.079390,0.124067,0.122646,0.191951,0.393319,2.5421,32.8967
458873.6245,4334202.0302,1,Tree,0.056023,0.083840,0.091319,0.118747,0.181142,2.1781,32.8827
458877.2533,4334201.9881,1,Tree,0.101118,0.155994,0.161367,0.251882,0.491927,2.8576,36.2495
458875.0608,4334202.2653,1,Tree,0.062811,0.093662,0.093011,0.125615,0.241832,3.5838,31.5921
458875.3392,4334201.8661,1,Tree,0.069890,0.096809,0.106764,0.146104,0.262783,4.0733,31.6482
458877.2582,4334201.2141,1,Tree,0.081100,0.115412,0.130259,0.210904,0.417281,3.1843,35.6463
458873.8943,4334202.4276,1,Tree,0.079135,0.120894,0.122591,0.195197,0.391500,2.7061,32.6722
458880.1412,4334201.4062,1,Tree,0.059772,0.083053,0.087963,0.097157,0.146799,1.6474,33.8927
458884.1390,4334203.9374,1,Tree,0.076751,0.155182,0.150971,0.297816,0.412420,1.7667,33.2474
458884.9016,4334207.9784,1,Tree,0.060664,0.097926,0.105973,0.200703,0.292955,3.2433,32.0971
458882.6226,4334208.8294,1,Tree,0.046979,0.080008,0.075874,0.141265,0.267550,1.9120,30.9327
458886.0308,4334208.3160,1,Tree,0.076150,0.090946,0.098278,0.136425,0.210781,2.3336,36.0812
458887.1037,4334205.7657,1,Tree,0.064194,0.129676,0.113177,0.263271,0.366252,2.8224,31.9147
458884.2337,4334204.9576,1,Tree,0.053657,0.078688,0.111840,0.154016,0.198079,2.0799,33.0931
458882.9605,4334207.8778,1,Tree,0.045286,0.071226,0.086626,0.118660,0.188168,3.1203,31.6482
458882.4614,4334207.4694,1,Tree,0.057497,0.091987,0.085261,0.160478,0.257169,2.7376,31.7183
458882.3653,4334208.2850,1,Tree,0.063994,0.100971,0.095876,0.188966,0.293488,2.9160,31.0870
458884.9207,4334205.2408,1,Tree,0.063648,0.103687,0.116233,0.173172,0.234994,2.3024,32.2093
458888.3352,4334206.5076,1,Tree,0.055423,0.094753,0.109302,0.220728,0.290979,2.7167,30.7504
458882.6910,4334206.0638,1,Tree,0.052711,0.075414,0.110093,0.129441,0.177912,1.1095,33.4859
458882.7447,4334207.1202,1,Tree,0.070563,0.143837,0.126957,0.266169,0.389242,3.0949,32.4618
458888.0716,4334206.6760,1,Tree,0.044686,0.069120,0.074974,0.127296,0.189423,2.3295,30.9748
458884.1701,4334208.6003,1,Tree,0.062210,0.112392,0.103053,0.233364,0.365531,3.2195,32.4478
458882.1144,4334208.7524,1,Tree,0.044031,0.065947,0.078821,0.122601,0.197483,1.7125,30.8907
458897.9333,4334222.3589,1,Tree,0.060063,0.086150,0.074346,0.152683,0.284863,1.8603,29.6982
458899.3546,4334222.7199,1,Tree,0.053676,0.098103,0.075438,0.192762,0.441400,2.7248,29.7684
458898.9073,4334222.5464,1,Tree,0.049417,0.074500,0.065314,0.138569,0.324099,2.6218,29.7684
458877.9326,4334237.1134,1,Tree,0.071728,0.095007,0.105400,0.178678,0.307915,2.0178,36.6143
458876.4930,4334235.5959,1,Tree,0.093802,0.143761,0.161695,0.243623,0.399372,1.8766,43.4180
458891.3409,4334240.0694,1,Tree,0.072511,0.107468,0.113777,0.190067,0.329274,2.1978,35.7305
458891.3658,4334239.0147,1,Tree,0.064667,0.107164,0.102234,0.187546,0.395170,2.5012,36.3056
458891.7383,4334237.9250,1,Tree,0.082465,0.125818,0.125702,0.232234,0.479884,1.9380,38.1995
458881.9156,4334235.9637,1,Tree,0.089908,0.146096,0.130232,0.225365,0.362959,0.7631,39.5041
458883.9280,4334238.9905,1,Tree,0.095404,0.125818,0.136726,0.189372,0.308543,-0.0974,36.2215
458888.5309,4334237.4311,1,Tree,0.077133,0.124397,0.106191,0.227915,0.359885,0.8095,42.6044
458884.9632,4334237.0528,1,Tree,0.097096,0.132264,0.142511,0.220873,0.407182,1.2756,43.1234
458885.2261,4334237.6308,1,Tree,0.093256,0.126503,0.125948,0.208412,0.372901,1.2175,40.2617
458880.6041,4334208.7821,1,Tree,0.054640,0.106352,0.096477,0.181605,0.280629,1.2518,33.1913
458882.0133,4334207.6090,1,Tree,0.054185,0.091429,0.096913,0.164594,0.254722,1.7473,33.1492
458868.1388,4334208.0112,1,Tree,0.079135,0.133305,0.128185,0.236754,0.456580,5.2517,34.2294
458866.0502,4334208.4961,1,Tree,0.085777,0.157644,0.147832,0.267155,0.456612,1.1476,32.7284
459224.4997,4334274.0588,1,Tree,0.097478,0.162593,0.181069,0.305901,0.462288,3.7217,33.6823
459227.6790,4334273.8492,1,Tree,0.104048,0.166984,0.238674,0.325811,0.463543,3.2878,38.8448
459224.7609,4334272.8987,1,Tree,0.088525,0.172110,0.181588,0.343692,0.564221,2.6244,34.9308
459223.1384,4334277.2621,1,Tree,0.059972,0.105641,0.088181,0.208615,0.368730,3.8998,30.8626
459225.9862,4334274.7405,1,Tree,0.073111,0.123788,0.112358,0.252259,0.451938,4.4825,32.4759
459222.2970,4334277.2611,1,Tree,0.098006,0.164725,0.167534,0.319580,0.460281,3.6018,31.5079
459225.2710,4334278.0713,1,Tree,0.074931,0.110362,0.122837,0.173577,0.293394,4.5866,31.6762
459225.2699,4334278.7137,1,Tree,0.059353,0.100362,0.094949,0.195168,0.357439,3.3263,31.2694
459225.5020,4334276.3713,1,Tree,0.072401,0.130894,0.124856,0.258750,0.443501,4.1868,31.9007
459227.8764,4334275.1050,1,Tree,0.106068,0.179800,0.229478,0.372295,0.559830,4.0262,38.6203
459226.9880,4334276.8488,1,Tree,0.114294,0.191272,0.247433,0.366035,0.515011,4.4156,35.3657
459226.6146,4334273.5727,1,Tree,0.088398,0.163177,0.172937,0.333490,0.572407,4.6309,34.1593
459224.0301,4334276.6044,1,Tree,0.068562,0.120818,0.112877,0.243826,0.439801,4.1646,30.6942
459224.3346,4334275.3783,1,Tree,0.070873,0.123356,0.127585,0.234262,0.396895,3.8579,30.9888
459228.0775,4334274.6608,1,Tree,0.119353,0.193734,0.246451,0.358587,0.494091,4.0120,38.9991
459225.2248,4334278.1625,1,Tree,0.068725,0.100692,0.103108,0.173317,0.288250,3.2600,31.4237
459224.3661,4334276.8631,1,Tree,0.067979,0.119676,0.109220,0.217801,0.378045,4.3661,30.8065
459225.0649,4334273.9369,1,Tree,0.076132,0.133914,0.123519,0.270140,0.465958,3.9632,33.1071
459224.8237,4334279.7419,1,Tree,0.070345,0.125285,0.110803,0.254432,0.439487,3.0754,30.0910
459225.0685,4334274.5039,1,Tree,0.063848,0.121224,0.102616,0.249158,0.410130,4.5006,31.7885
459226.0979,4334273.7913,1,Tree,0.074349,0.146147,0.134352,0.310306,0.541231,4.1842,34.2434
459222.4817,4334277.0142,1,Tree,0.065450,0.111275,0.106955,0.202963,0.301580,3.6540,31.2694
459222.7965,4334274.6400,1,Tree,0.065868,0.090413,0.095303,0.144916,0.222166,3.1575,34.0049
459228.0237,4334275.6718,1,Tree,0.104849,0.169268,0.209148,0.301004,0.426283,4.0315,37.8488
459226.3476,4334273.2458,1,Tree,0.075422,0.135056,0.132715,0.293034,0.521692,3.2760,35.4078
459222.7019,4334274.1005,1,Tree,0.070345,0.121199,0.108974,0.239566,0.393288,3.0454,35.1413
459224.3151,4334212.2531,1,Tree,0.069745,0.095870,0.095876,0.168680,0.314063,2.9830,30.2594
459224.8494,4334211.7597,1,Tree,0.063848,0.096175,0.088754,0.175142,0.333634,3.1798,30.8345
459226.7017,4334213.4268,1,Tree,0.054877,0.083510,0.070608,0.161493,0.354773,4.3484,30.6381
459228.5896,4334213.7226,1,Tree,0.086432,0.130437,0.134189,0.228698,0.409691,3.9967,37.2876
459224.7134,4334210.9678,1,Tree,0.073311,0.115032,0.096559,0.204992,0.406555,3.6661,31.1432
459225.8728,4334212.3744,1,Tree,0.045068,0.060313,0.051643,0.104373,0.297095,3.8579,30.3435
459227.4177,4334211.7834,1,Tree,0.053148,0.083003,0.068425,0.171810,0.452911,4.7692,32.0269
459226.4468,4334213.7186,1,Tree,0.041501,0.052369,0.050333,0.095128,0.224425,4.1515,30.8065
459228.0106,4334214.4738,1,Tree,0.065887,0.095312,0.108183,0.163318,0.269589,3.5176,35.8988
459226.7532,4334212.6177,1,Tree,0.057952,0.090007,0.075028,0.176099,0.455514,4.6170,31.0309
459224.2311,4334212.1847,1,Tree,0.073166,0.106580,0.104008,0.184648,0.354240,3.0234,30.2594
459231.2232,4334216.8265,1,Tree,0.064358,0.097900,0.083433,0.193574,0.426628,5.1697,32.4759
459230.8563,4334216.5555,1,Tree,0.069017,0.100717,0.089546,0.181460,0.402478,5.1099,32.7003
459233.2823,4334218.4694,1,Tree,0.046851,0.067470,0.066815,0.124659,0.272851,3.9961,33.0370
459234.5240,4334217.4860,1,Tree,0.058516,0.096606,0.079967,0.200384,0.428039,4.3949,34.8888
459233.2395,4334218.8305,1,Tree,0.042429,0.048385,0.060075,0.090404,0.173866,3.7445,32.8967
459231.3155,4334216.7492,1,Tree,0.050273,0.081607,0.065341,0.147119,0.379550,5.1395,32.9248
459233.6145,4334217.8798,1,Tree,0.053275,0.077241,0.069352,0.162275,0.359979,4.3981,33.7945
459231.0754,4334215.6475,1,Tree,0.082410,0.125031,0.120217,0.232002,0.402383,4.6851,35.8848
459230.6983,4334216.3247,1,Tree,0.077206,0.116199,0.103217,0.213251,0.436978,4.9086,32.8125
459230.2252,4334216.9385,1,Tree,0.043667,0.065008,0.062940,0.108749,0.225303,4.3226,33.1071
459234.7011,4334216.1767,1,Tree,0.078006,0.123737,0.104581,0.255736,0.446136,3.7491,40.8087
459240.9425,4334213.5472,1,Tree,0.063885,0.099220,0.110093,0.197718,0.357408,2.0805,39.9811
459240.0722,4334216.8105,1,Tree,0.059153,0.094601,0.085534,0.194211,0.354616,5.7471,33.7104
459244.2136,4334216.4006,1,Tree,0.050309,0.076252,0.071481,0.169781,0.391720,3.9660,36.0251
459241.8492,4334215.5233,1,Tree,0.091983,0.132340,0.205274,0.262605,0.382311,2.3535,38.2977
459240.8440,4334217.9945,1,Tree,0.057370,0.077495,0.086789,0.141265,0.246442,4.7972,34.0611
459239.0045,4334217.0462,1,Tree,0.065686,0.101225,0.107992,0.210788,0.351699,3.9288,34.4258
459239.1313,4334217.3536,1,Tree,0.066978,0.100083,0.101061,0.203630,0.365280,3.8909,34.0330
459239.3319,4334217.4458,1,Tree,0.058716,0.085160,0.085534,0.174505,0.318799,4.1249,33.4017
459243.4352,4334216.0542,1,Tree,0.058680,0.091962,0.082696,0.191082,0.429325,4.3056,35.9549
459240.9257,4334217.7447,1,Tree,0.059153,0.086962,0.083760,0.169491,0.325855,5.0447,33.6542
459241.2010,4334217.4554,1,Tree,0.062629,0.088434,0.089518,0.184184,0.336676,4.8777,33.5420
459241.5834,4334215.3567,1,Tree,0.062392,0.093129,0.086298,0.192415,0.399341,3.1465,38.1293
459241.7763,4334214.9960,1,Tree,0.064503,0.096682,0.111567,0.195023,0.395734,4.4005,36.9930
459244.1102,4334215.9571,1,Tree,0.052929,0.075566,0.081959,0.151466,0.324193,4.1743,35.6463
459249.6135,4334217.6024,1,Tree,0.047579,0.065110,0.072300,0.127644,0.234242,4.5190,34.7906
459251.4067,4334216.2562,1,Tree,0.059736,0.095210,0.093830,0.223018,0.420135,4.7357,37.1473
459247.8145,4334219.2185,1,Tree,0.041392,0.053461,0.058219,0.102837,0.216772,4.0127,32.8266
459251.3505,4334217.5373,1,Tree,0.056296,0.079322,0.082069,0.161783,0.310268,4.9908,35.0010
459248.6177,4334218.8953,1,Tree,0.052511,0.077292,0.077757,0.160276,0.304026,5.3067,32.8967
459249.3060,4334219.3942,1,Tree,0.057570,0.086073,0.078767,0.168477,0.325950,5.9229,32.4899
459247.6038,4334219.5567,1,Tree,0.039062,0.045974,0.055627,0.075566,0.139428,-0.0638,32.7284
459252.6539,4334215.0627,1,Tree,0.071346,0.105210,0.130505,0.208383,0.370298,3.3340,39.0412
459248.4762,4334218.7554,1,Tree,0.054604,0.073079,0.080541,0.127760,0.251115,4.8389,32.8546
459252.0857,4334218.2321,1,Tree,0.055222,0.087393,0.077430,0.192646,0.361234,5.6259,35.0290
459251.8938,4334217.5971,1,Tree,0.062702,0.084525,0.092574,0.139671,0.233740,5.1331,35.4920
459248.6421,4334216.3258,1,Tree,0.068234,0.104854,0.104718,0.222177,0.371647,5.3018,34.9729
459251.0808,4334216.6817,1,Tree,0.054458,0.075084,0.074428,0.135874,0.313090,4.3881,36.2635
459250.1880,4334220.2073,1,Tree,0.049199,0.071861,0.069216,0.144220,0.299039,5.4039,33.1071
459247.9180,4334217.8778,1,Tree,0.052056,0.068054,0.079285,0.134454,0.262061,4.5556,33.6823
459250.5108,4334218.0405,1,Tree,0.059426,0.096378,0.084061,0.197370,0.399153,5.5949,34.2294
459263.1694,4334220.8492,1,Tree,0.064594,0.088967,0.105154,0.156044,0.243839,3.7516,36.7265
459263.2371,4334215.3825,1,Tree,0.065359,0.118255,0.094512,0.250201,0.488007,3.9272,36.5301
459262.4003,4334218.6071,1,Tree,0.044558,0.062826,0.058874,0.121587,0.222574,3.1251,33.7524
459261.4281,4334219.5282,1,Tree,0.060209,0.107646,0.080868,0.231190,0.504818,4.8194,32.9809
459264.2765,4334217.9832,1,Tree,0.108907,0.160334,0.231142,0.306510,0.433151,-0.1626,41.7346
